TOA_ns,Freq_MHz,PW_ns,Az_deg,El_deg,Cluster,Ground_Truth
0,0.307589,0.458508,0.655686,0.380181,0,Emitter_1
0.000350315,0.660738,0.458508,0.298217,0.561789,1,Emitter_2
0.0010009,0.307589,0.458508,0.657093,0.395354,0,Emitter_1
0.00160144,0.660738,0.458508,0.301014,0.568821,1,Emitter_2
0.0020018,0.307589,0.458508,0.648566,0.378171,0,Emitter_1
0.00285257,0.660738,0.458508,0.29521,0.575491,1,Emitter_2
0.0030027,0.307589,0.458508,0.655127,0.385725,0,Emitter_1
0.0040036,0.307589,0.458508,0.654671,0.381613,0,Emitter_1
0.00410369,0.660738,0.458508,0.299347,0.55838,1,Emitter_2
0.0050045,0.307589,0.458508,0.6575,0.394105,0,Emitter_1
0.00535482,0.660738,0.458508,0.303396,0.571684,1,Emitter_2
0.0060054,0.307589,0.458508,0.654932,0.396784,0,Emitter_1
0.00660595,0.660738,0.458508,0.295653,0.580506,1,Emitter_2
0.00700631,0.307589,0.458508,0.6562,0.381565,0,Emitter_1
0.00785707,0.660738,0.458508,0.301723,0.566812,1,Emitter_2
0.00800721,0.307589,0.458508,0.655888,0.380801,0,Emitter_1
0.00900811,0.307589,0.458508,0.657497,0.387765,0,Emitter_1
0.0091082,0.660738,0.458508,0.304663,0.568111,1,Emitter_2
0.010009,0.307589,0.458508,0.654141,0.382931,0,Emitter_1
0.0103593,0.660738,0.458508,0.299556,0.561832,1,Emitter_2
0.0110099,0.307589,0.458508,0.658583,0.386963,0,Emitter_1
0.0116104,0.660738,0.458508,0.30148,0.570542,1,Emitter_2
0.0120108,0.307589,0.458508,0.653372,0.385451,0,Emitter_1
0.0128616,0.660738,0.458508,0.299691,0.560839,1,Emitter_2
0.0130117,0.307589,0.458508,0.656404,0.390946,0,Emitter_1
0.0140126,0.307589,0.458508,0.656027,0.391447,0,Emitter_1
0.0141127,0.660738,0.458508,0.300054,0.566357,1,Emitter_2
0.0150135,0.307589,0.458508,0.661484,0.385035,0,Emitter_1
0.0153638,0.660738,0.458508,0.295435,0.555617,1,Emitter_2
0.0160144,0.307589,0.458508,0.653107,0.381915,0,Emitter_1
0.016615,0.660738,0.458508,0.301428,0.546958,1,Emitter_2
0.0170153,0.307589,0.458508,0.656668,0.396796,0,Emitter_1
0.0178661,0.660738,0.458508,0.300293,0.563229,1,Emitter_2
0.0180162,0.307589,0.458508,0.654364,0.381713,0,Emitter_1
0.0190171,0.307589,0.458508,0.652122,0.393132,0,Emitter_1
0.0191172,0.660738,0.458508,0.303773,0.563112,1,Emitter_2
0.020018,0.307589,0.458508,0.65707,0.392307,0,Emitter_1
0.0203683,0.660738,0.458508,0.301726,0.56385,1,Emitter_2
0.0210189,0.307589,0.458508,0.652624,0.389925,0,Emitter_1
0.0216195,0.660738,0.458508,0.300003,0.572536,1,Emitter_2
0.0220198,0.307589,0.458508,0.655093,0.389823,0,Emitter_1
0.0228706,0.660738,0.458508,0.298184,0.574526,1,Emitter_2
0.0230207,0.307589,0.458508,0.657475,0.389861,0,Emitter_1
0.0240216,0.307589,0.458508,0.656867,0.388666,0,Emitter_1
0.0241217,0.660738,0.458508,0.296508,0.569148,1,Emitter_2
0.0245827,0.224618,0.732217,0.800334,0.430244,0,Noise
0.0250225,0.307589,0.458508,0.655636,0.392984,0,Emitter_1
0.0253728,0.660738,0.458508,0.302557,0.571947,1,Emitter_2
0.0260234,0.307589,0.458508,0.650125,0.385699,0,Emitter_1
0.026624,0.660738,0.458508,0.305693,0.561043,1,Emitter_2
0.0270243,0.307589,0.458508,0.65324,0.383253,0,Emitter_1
0.0278751,0.660738,0.458508,0.295291,0.559274,1,Emitter_2
0.0280252,0.307589,0.458508,0.653855,0.3996,0,Emitter_1
0.0290261,0.307589,0.458508,0.651992,0.395566,0,Emitter_1
0.0291262,0.660738,0.458508,0.301729,0.570706,1,Emitter_2
0.030027,0.307589,0.458508,0.649413,0.385582,0,Emitter_1
0.0303773,0.660738,0.458508,0.299967,0.558288,1,Emitter_2
